,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,Year
,Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS,TRB,AST,
49,48,Tony Parker,"Oct 30, '01, SAS vs. LAC",19,18,1254,38279,7777,15830,519,1603,3400,4525,441,3396,7036,1053,98,2865,2059,19473,.491,.324,.751,30.5,15.5,2.7,5.6,2002
50,49,Vladimir Radmanović,"Oct 30, '01, SEA @ SAC",21,12,737,16164,2148,5177,971,2567,612,807,654,2784,998,537,263,837,1552,5879,.415,.378,.758,21.9,8.0,3.8,1.4,2002
51,50,Zach Randolph,"Oct 30, '01, POR @ LAL",20,17,1116,34616,7436,15774,199,729,3507,4592,3279,10208,2049,834,301,2290,2629,18578,.471,.273,.764,31.0,16.6,9.1,1.8,2002
52,51,Željko Rebrača,"Oct 30, '01, DET @ DAL",29,5,215,3280,488,926,0,0,300,379,196,688,88,57,160,203,512,1276,.527,,.792,15.3,5.9,3.2,0.4,2002
53,52,Jason Richardson,"Oct 31, '01, GSW @ POR",21,13,857,29241,5558,12681,1608,4344,1920,2714,1033,4245,2284,995,367,1503,1963,14644,.438,.370,.707,34.1,17.1,5.0,2.7,2002
54,53,Norm Richardson,"Feb 3, '02, IND @ WAS",22,1,11,67,10,26,4,8,6,9,3,8,2,0,0,3,5,30,.385,.500,.667,6.1,2.7,0.7,0.2,2002
55,54,Jeryl Sasser,"Dec 22, '01, ORL @ DAL",22,2,82,1061,67,221,13,44,57,83,67,191,67,48,12,41,94,204,.303,.295,.687,12.9,2.5,2.3,0.8,2002
56,55,Kenny Satterfield,"Dec 5, '01, DEN @ BOS",20,2,75,1062,128,382,12,55,53,71,33,95,176,51,3,96,79,321,.335,.218,.746,14.2,4.3,1.3,2.3,2002
57,56,Brian Scalabrine,"Jan 31, '02, NJN vs. MIL",23,11,520,6772,590,1512,180,523,234,299,275,1034,436,157,121,341,819,1594,.390,.344,.783,13.0,3.1,2.0,0.8,2002
58,57,Ansu Sesay,"Mar 30, '02, SEA @ POR",25,4,127,1301,161,371,8,29,71,111,102,223,62,38,30,58,162,401,.434,.276,.640,10.2,3.2,1.8,0.5,2002
59,58,Bobby Simmons,"Nov 1, '01, WAS @ ATL",21,10,466,11513,1551,3552,378,955,709,862,559,1791,710,396,83,522,1153,4189,.437,.396,.823,24.7,9.0,3.8,1.5,2002
60,59,Leon Smith,"Jan 17, '02, ATL vs. CHI",21,2,15,104,11,28,0,0,11,17,11,33,3,5,1,3,13,33,.393,,.647,6.9,2.2,2.2,0.2,2002
61,60,Will Solomon,"Nov 2, '01, MEM @ MIN",23,2,115,1584,218,576,74,248,74,107,24,132,225,62,11,116,147,584,.378,.298,.692,13.8,5.1,1.1,2.0,2002
62,,,,,,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Totals,Shooting,Shooting,Shooting,Per Game,Per Game,Per Game,Per Game,2002
